name,price,status,shipping,free_returns,items_sold
30L Sport Canvas Travel School Book Bag Satchel Backpack Hiking Camping Unisex,3098,Brand New,0,False,
Anti-Theft Men's Sling Crossbody Bag Chest Shoulder Messenger Backpack USB Port,1415,Brand New,0,True,63
New With Tags Jansport Padded Super Break School Bag Backpack,2695,Brand New,0,False,
Men's Leather Backpack Shoulder Bag Weekender Travel School Laptop Bags Daypack,3239,Brand New,0,True,258
Military Tactical Backpack Daypack Waterproof 30L Bag for Hiking Camping Travel,2499,Brand New,0,True,
Canvas School Laptop Backpack - Brown,1525,Brand New,0,True,
"17"" Anti-theft Men Laptop Backpack Women Travel Rucksack Shool Bag w/ USB Port",2080,Brand New,0,True,
Men's Women's Nylon Chest Sling Bag Crossbody Shoulder Backpack Sport Satchel,1199,Brand New,0,True,248
Men Women Sling Bag Chest Fanny Packs Cross Body Travel Shoulder Backpack Sports,799,Brand New,0,False,16
Men Leather Sling Bag Chest Shoulder Crossbody Backpack USB Charging Port Travel,896,Brand New,0,True,371
Adidas STREET SPORT Backpack BK6804 Black/Black Size Large,3375,Brand New,0,False,
"Black JanSport Superbreak School Backpack Blue, Pink, White, Green, Gray,Yellow",1994,Brand New,299,False,
Men Women Sling Bag Chest Fanny Packs Cross Body Travel Sports Shoulder Backpack,896,Brand New,0,False,
Cornhole Drawstring Cinch Sack Backpack School Tote Gym Beach Travel Bag BLACK,299,New (Other),499,True,1926
Shop on eBay,2000,Brand New,,False,
Laptop Backpack Usb Charging And Anti Theft Waterproof Travel and Office,2690,Brand New,0,True,
30L/55L Outdoor Military Molle Tactical Backpack Rucksack Camping Hiking Travel,2199,Brand New,0,True,
Mens Sling Bag Cross Body Handbag Chest Bag Shoulder Pack Sports Travel Backpack,1075,Brand New,0,True,
Outdoor Military Molle 45L Tactical Backpack Rucksack Camping Hiking Travel Bag,1299,Brand New,0,True,
Men's Leather Shoulder Backpack Travel College Laptop Bag Daypack Sport Bookbags,3239,Brand New,0,True,151
Men Backpack Tactical Sling Bag Chest Shoulder Fanny Pack Cross Body Molle Pouch,1249,Brand New,0,True,
Anti-theft Mens USB with Charger Port Backpack Laptop Notebook Travel School Bag,1699,Brand New,0,False,
The North Face Escalada Backpack,2500,New (Other),1265,False,
Puma 074719-26  Academy Backpack Mens      - Black,1999,Brand New,0,True,
