name,price,status,shipping,free_returns,items_sold
"New ListingFor 2022 Macbook Air 13.6"" M2 A2681 Screen Protector Clear Case Keyboard Cover",1799,Brand New,0,False,
For Macbook Air 13 Inch 2021 2020 (M1) A2337 A2179 A1932 Case Hard Plastic Cover,1199,Brand New,0,False,843
New ListingTumi Laptop Case Cover Sleeve Padded Nylon Mesh Pocket Red,1499,Pre-Owned,825,False,
New ListingKate Spade Black & Pink Padded Laptop Tablet Case Zip Sleeve Saffiano Leather,3999,Pre-Owned,2420,False,
New Listing13.3 in padded zipper round sleeve for laptop Marbled Gray￼ & Plastic Hard Case,99,Brand New,899,False,
"Laptop Shoulder Carry Bag Pouch Case For 13"" 14"" 15.6"" HP/ Lenovo/ Asus/Macbook",1559,Brand New,0,True,
Pelican 1085 HardBack Hard Shell Laptop Case w/ Carry Strap - No Foam Included,2899,Pre-Owned,0,True,55
Hard Case for 2022 MacBook Pro Air 13 14 16 inch M2 A2681 A2338 M1 A2337 A2442,1699,Brand New,0,True,
"Clear Hard Case With Keyboard Cover For MacBook Air 13.3"" Old model A1369/A1466",1175,Brand New,0,False,
11-11.6 Inch Chromebook Sleeve Case Protective Briefcase Shoulder Bag w Pouch ,2379,Brand New,0,True,
New ListingLaptop Bag Case With Shoulder Strap For 14'' 15'' 15.6'' inch HP Lenovo Asus Mac,468,Brand New,0,True,
New ListingOGIO BLACK CORDURA LAPTOP CASE COMPUTER BAG,2500,Pre-Owned,995,False,
"Black Soft-Touch 13Inch Sleeve Case Cover for MacBook Pro 13 M1 Mac Air M2 13.6""",1395,Brand New,0,True,
"Fr 2022 Macbook Air 13.6"" M2 A2681 Matte Hard Shell Case Keyboard & Screen Cover",1699,Brand New,0,False,
Ultra-Grippy Hard Shell Case Cover For Apple MacBook Pro 13-Inch M1 M2 2020 2022,2080,Brand New,0,True,
"10"" Laptop Sleeve Case Carry Bag + Handle For Tablet iPad Notebook Computer PC",929,Brand New,0,True,119
Case for MacBook Pro 16 Inch Case A2485 2021 2022 Heavy Duty Rugged Hard Cover,2999,Brand New,0,True,
"17.3"" Laptop Case with Shoulder strap",2999,Brand New,0,True,132
Protective Case for 12.4 Inch Microsoft Surface Laptop Go Heavy Duty Hard Cover,2449,Brand New,0,True,
"Incase Classic Sleeve Laptop Case Sleeve MacBook Pro 15"" Retina  Black",2999,Brand New,0,False,
"Cream Matte Hard Case For Macbook Air/Pro 13/Retina 11.6"" 12"" 15.4""Laptop Shell ",1099,Brand New,0,True,
Hard Case Cover for MacBook Pro 14 inch M1 A2442 2021 2022 Pro 16 A2485 Shells,1699,Brand New,0,False,
Shop on eBay,2000,Brand New,,False,
Hard Shell for MacBook Pro 14 Pro 16 inch Case M1 A2442 A2485 2021 2022 Cover,1658,Brand New,0,False,
Plastic Hard Case Shell & Keyboard Cover For Apple MacBook Air 13 A1466  A1369,1199,Brand New,0,False,181
New ListingIncase Deluxe Leather Sleeve Pouch Case w/Zipper Pocket for MacBook Pro 15 White,1399,Brand New,0,False,
"Hard Plastic Case Cover Shell For Apple MacBook Retina 12"" Inch 2015 2016 A1534 ",1099,Brand New,0,False,
"Incase Classic Sleeve Laptop Case Sleeve MacBook Pro 15"" Retina  Black",2999,Brand New,0,False,
New ListingCASE LOGIC NEW LAPTOP OR TABLET CASE 16 x 13 INCHES,2500,Brand New,1295,False,
"SeeThru Hard Shell Laptop Case/MacBook Pro 13"" Retina 2012-2015 Onyx Blk Matte",1495,Brand New,0,True,
Case for MacBook Air 13.6 Inch A2681 (2022) Protective Snap On Hard Shell Cover,1189,Brand New,0,True,
Laptop Bag For 2021 MacBook Pro 16 14 inch M1 A2442 A2485 Air 13 15 Cover Case,2999,Brand New,0,False,
Laptop Hard Case Cover Macbook Pro 13 15 Touch Bar 2017 2018 2019+keyboard cover,1329,Brand New,0,False,
U By UAG Lucent Case for MacBook Pro 14” 2021 Protective Impact Resistant -Clear,2800,Brand New,0,False,
Mosiso Shell Case for Macbook Pro 13 15 Retina 2012 2013 2014 2015 Mac 12 inch ,699,Brand New,0,False,
Compatible with MacBook Pro 16 inch Case Cover 2020 2019 Release A2141,1499,Brand New,0,False,
